Factory,Loom Number,Loom Type,Reed Count,Width,RPM,Make/Brand,Year of Purchase,Status,Remarks
Dhandai Texxtiles,L-001,Power Loom,80,60,650,Picanol,2020,Active,Imported via CSV template
Dhandai Texxtiles,L-002,Power Loom,80,60,650,Picanol,2020,Active,Imported via CSV template
Dhandai Texxtiles,L-003,Power Loom,80,60,650,Picanol,2020,Active,Imported via CSV template
Dhandai Texxtiles,L-004,Power Loom,80,60,650,Picanol,2020,Active,Imported via CSV template
Dhandai Texxtiles,L-005,Power Loom,80,60,650,Picanol,2020,Active,Imported via CSV template
Dhandai Texxtiles,L-006,Power Loom,80,60,650,Picanol,2020,Active,Imported via CSV template
Dhandai Texxtiles,L-007,Power Loom,120,68,700,Picanol,2021,Active,Imported via CSV template
Dhandai Texxtiles,L-008,Power Loom,120,68,700,Picanol,2021,Active,Imported via CSV template
Dhandai Texxtiles,L-009,Power Loom,120,68,700,Picanol,2021,Active,Imported via CSV template
Dhandai Texxtiles,L-010,Power Loom,120,68,700,Picanol,2021,Active,Imported via CSV template
Dhandai Texxtiles,L-011,Power Loom,120,68,700,Picanol,2021,Active,Imported via CSV template
Dhandai Texxtiles,L-012,Power Loom,120,68,700,Picanol,2021,Active,Imported via CSV template
Dhandai Texxtiles,L-013,Rapier,90,72,600,Toyota,2022,Active,Imported via CSV template
Dhandai Texxtiles,L-014,Rapier,90,72,600,Toyota,2022,Active,Imported via CSV template
Dhandai Texxtiles,L-015,Rapier,90,72,600,Toyota,2022,Active,Imported via CSV template
Dhandai Texxtiles,L-016,Rapier,90,72,600,Toyota,2022,Active,Imported via CSV template
Dhandai Texxtiles,L-017,Rapier,90,72,600,Toyota,2022,Active,Imported via CSV template
Dhandai Texxtiles,L-018,Rapier,90,72,600,Toyota,2022,Active,Imported via CSV template
Dhandai Texxtiles,L-019,Shuttle,100,56,480,Cimmco,2018,Idle,Imported via CSV template
Dhandai Texxtiles,L-020,Shuttle,100,56,480,Cimmco,2018,Idle,Imported via CSV template
Dhandai Texxtiles,L-021,Shuttle,100,56,480,Cimmco,2018,Idle,Imported via CSV template
Dhandai Texxtiles,L-022,Shuttle,100,56,480,Cimmco,2018,Idle,Imported via CSV template
Dhandai Texxtiles,L-023,Shuttle,100,56,480,Cimmco,2018,Idle,Imported via CSV template
Dhandai Texxtiles,L-024,Shuttle,100,56,480,Cimmco,2018,Idle,Imported via CSV template
Dhandai Texxtiles,L-025,Rapier,120,72,650,Toyota,2023,Active,Imported via CSV template
Dhandai Texxtiles,L-026,Rapier,120,72,650,Toyota,2023,Active,Imported via CSV template
Dhandai Texxtiles,L-027,Rapier,120,72,650,Toyota,2023,Active,Imported via CSV template
Dhandai Texxtiles,L-028,Rapier,120,72,650,Toyota,2023,Active,Imported via CSV template
Dhandai Texxtiles,L-029,Rapier,120,72,650,Toyota,2023,Under Repair,Imported via CSV template
Dhandai Texxtiles,L-030,Rapier,120,72,650,Toyota,2023,Under Repair,Imported via CSV template
Dhandai Texxtiles,L-031,Handloom,60,50,150,Laxmi,2015,Active,Imported via CSV template
Dhandai Texxtiles,L-032,Handloom,60,50,150,Laxmi,2015,Active,Imported via CSV template
Dhandai Texxtiles,L-033,Handloom,60,50,150,Laxmi,2015,Active,Imported via CSV template
Dhandai Texxtiles,L-034,Handloom,60,50,150,Laxmi,2015,Active,Imported via CSV template
Dhandai Texxtiles,L-035,Handloom,60,50,150,Laxmi,2015,Active,Imported via CSV template
Dhandai Texxtiles,L-036,Handloom,60,50,150,Laxmi,2015,Active,Imported via CSV template
